capacity_kwh,power_kw,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
0.0,2.5,3355.243460849976,4117.149268102741,2182.299541399076,1863.7508815116798,-6.661338147750939e-14,-2.220446049250313e-14,,,
0.5,2.5,3179.814641483201,3922.228357695246,2163.5240185550297,1845.3587314510016,0.8603549827998491,0.9868352172560768,389.8418208149355,350.85763873355063,36.78430012135641
1.0,2.5,3056.5058583636883,3785.218598673459,2119.3298182104004,1802.040258657123,2.8854757100991058,3.3110982517418397,331.93066942919324,246.6175662390251,86.63694558775705
1.5,2.5,2944.972137477745,3661.292242133657,2061.863547526402,1745.320904292857,5.518765485120403,6.354388797002997,303.9046839793677,223.06744177188648,113.43870872853222
2.0,2.5,2842.9500912451663,3547.9344129862598,1996.8183907954624,1680.8543608895486,8.499344250638497,9.813356625955528,284.6074275582212,204.04409246515752,128.93308680661676
2.5,2.5,2749.270147740904,3443.8455868705387,1928.6023080333798,1613.378405962952,11.625225068922006,13.433795151080052,269.32147249288664,187.3598870085243,134.95190985319323
3.0,2.5,2662.76134578317,3347.724695806385,1860.470362401793,1546.1048365199774,14.74725045265587,17.04337463460036,256.47485743210063,173.0176039154685,134.54713888594915
3.5,2.5,2582.854011374378,3258.9387686855102,1793.080927163741,1479.5490393295238,17.83525161654963,20.6144418759728,245.2029998334929,159.81466881758388,133.11159438090726
4.0,2.5,2509.8923367592743,3177.8702413353863,1730.7107178003694,1417.9387861034536,20.69325567053877,23.920154771255152,234.81975669182077,145.92334923020735,123.2205064521404
4.5,2.5,2444.3923805484037,3105.092512212106,1673.834393174981,1361.822417615354,23.299512215363272,26.931091964888232,224.90150130900227,130.9999124217411,112.23273697619925
5.0,2.5,2385.6211004225747,3039.7910898500727,1622.9641683044972,1311.712148882179,25.630549907735723,29.619770437438753,215.47163565050346,117.54256025165796,100.22053746634992
5.5,2.5,2333.4092754143153,2981.777950951899,1577.9212568391097,1267.42919355409,27.694561314552523,31.995783013334687,206.4311485728287,104.42365001651888,88.56591065617795
6.0,2.5,2286.490343511806,2929.6458043935277,1538.4166295684722,1228.6148479756293,29.504790685966455,34.07837602313537,197.9172439514845,93.83786380501897,77.62869115692138
6.5,2.5,2245.401796402874,2883.9918631613773,1505.4094359409235,1196.3347882964617,31.017286702273527,35.81037035775295,189.71652383708047,82.17709421786367,64.56011935833521
7.0,2.5,2211.230832302172,2846.0241252716883,1479.2915535006043,1171.1030160877754,32.21409227111744,37.16418713975877,181.58930611866984,68.34192820140379,50.46354441737276
7.5,2.5,2182.656267900715,2814.2746092700468,1457.9844811301816,1150.5861970287506,33.19045101409562,38.26502198107531,173.71662117763847,57.149128802913765,41.033638118049566
8.0,2.5,2158.301545166842,2787.2138062324148,1440.7953870084768,1134.1570590443462,33.97811071871549,39.146531315148906,166.24193273373825,48.709445467746264,32.85827596880881
8.5,2.5,2137.4041560570085,2763.994484999255,1426.719770772275,1120.8413989454448,34.623100829797025,39.8609862474573,159.19468036506453,41.79477821966702,26.63132019780278
9.0,2.5,2119.5579355166788,2744.1653510655538,1414.9588706634834,1109.840454973954,35.162023186040194,40.45124453147045,152.5537685596374,35.69244108065959,22.00188794298174
9.5,2.5,2104.021225927493,2726.9023404108966,1406.1215222737926,1101.6681305019993,35.56697897794881,40.889732558653904,146.34178186225085,31.073419178371296,16.344648943909306
10.0,2.5,2091.1067092809944,2712.5528774703503,1398.7279356120168,1094.8825087500634,35.9057769532733,41.253816719216815,140.45963906319216,25.829033292997337,13.571243503871756
10.5,2.5,2079.74584712949,2699.9296973020087,1392.1371918373854,1088.925739042309,36.207786079408486,41.5734286248017,134.97329245716656,22.72172430300907,11.913539415508694
11.0,2.5,2069.9259524270906,2689.0187031882283,1386.4377899650976,1083.8265449579383,36.468951046186326,41.84702710488584,129.83005135582013,19.63978940479865,10.19838816874153
11.5,2.5,2061.2853546103725,2679.4180389474313,1381.1579135194263,1079.2306290358374,36.710892005505144,42.093622074615546,125.02010688302728,17.281195633436255,9.191831844201715
12.0,2.5,2053.160037574995,2670.3899089081233,1376.0939947252064,1074.8775687177,36.942937089058326,42.32718656873972,120.56327993284292,16.25063407075504,8.706120636275045
12.5,2.5,2045.4677946078587,2661.8429722779697,1371.6110265743714,1071.0785610904359,37.14836114133856,42.53102323301443,116.42450366594093,15.384485934272561,7.598015254528036
13.0,2.5,2038.3392669335406,2653.9223859731715,1367.424540299093,1067.5412523186938,37.34019943832113,42.72081838250743,112.55591400992724,14.257055348636186,7.074617543484237
13.5,2.5,2032.1099246187873,2647.0008945123354,1363.689336417579,1064.3967277950492,37.51135852123599,42.88953859907919,108.89987952517689,12.458684629506479,6.289049047289154
14.0,2.5,2026.614092695886,2640.894414597999,1360.6026272067052,1061.8403365806057,37.65280148780946,43.02670238206127,105.44677525030158,10.991663845802577,5.112782428886931
14.5,2.5,2021.6409225123793,2635.368669949655,1357.792503254525,1059.4861863108067,37.78157042621003,43.153014878712625,102.19176538983169,9.946340367013363,4.708300539597985
15.0,2.5,2016.920201756386,2630.1234246652193,1354.9363033185966,1057.0859600572592,37.912450714719704,43.28179959330929,99.13505622913276,9.441441511986795,4.800452507095088
15.5,2.5,2012.424700580421,2625.128423358592,1352.069945441792,1054.675575862836,38.043796472826166,43.41112933465692,96.2594093382981,8.991002351930092,4.820768388846318
16.0,2.5,2008.243267245154,2620.4823863194056,1349.3380260679369,1052.3921465429203,38.168981825342165,43.53364728180142,93.54168011142518,8.362866670534004,4.56685863983148
16.5,2.5,2004.3767532520642,2616.1862596604137,1346.784044245138,1050.2164966953067,38.28601350565683,43.65038229554151,90.96745505707824,7.733027986179422,4.351299695227226
17.0,2.5,2000.8304382069812,2612.2459096103244,1344.6721586737565,1048.4085935788455,38.38278691055924,43.74738577032966,88.52372697011049,7.09263009016604,3.6158062329222957
17.5,2.5,1997.4106355891245,2608.446128923815,1342.593399872183,1046.6338172321928,38.47804234007928,43.842611820348374,86.21160795305066,6.839605235713407,3.549552693305486
18.0,2.5,1994.1353429522064,2604.8069148827967,1340.608144923702,1044.9515354996097,38.56901312162506,43.93287504969257,84.01901962330024,6.550585273836077,3.3645634651661567
18.5,2.5,1991.0578883472872,2601.3875208773306,1338.9124493470806,1043.4828369612037,38.64671535930846,44.01167842159035,81.93306741756037,6.154909209838479,2.937397076811976
19.0,2.5,1988.2859517680122,2598.3075913447947,1337.4550243718695,1042.177403213453,38.713499269929486,44.08172178203624,79.93903561881056,5.543873158550014,2.6108674955012248
19.5,2.5,1985.842004083898,2595.592093918001,1336.0197770047569,1040.8941470738005,38.77926693105416,44.15057519760709,78.02857303508674,4.887895368228328,2.5665122793052433
