year,capacity_kwh,saving_eur,nominal_eur,discount_factor,present_value_eur,cost_eur
1,10.0864,373.24281750103347,384.4401020260645,0.9090909090909091,349.4910018418768,2652.0416999999998
2,9.935104,372.1289075284181,394.79155799689875,0.8264462809917354,326.27401487347,0.0
3,9.78607744,370.9341237506024,405.3297322436245,0.7513148009015775,304.5302270801085,0.0
4,9.6392862784,369.757261729454,416.16505563797637,0.6830134553650705,284.24633265349104,0.0
5,9.494696984224,368.5912286339464,427.2982553697179,0.6209213230591549,265.3185980650339,0.0
6,9.352276529460639,367.2661387829901,438.5349764511678,0.5644739300537772,247.5415616234313,0.0
7,9.21199238151873,365.96092527979806,450.0857777683273,0.5131581182307065,230.9651707619988,0.0
8,9.073812495795949,364.675289979154,461.9597467669455,0.4665073802097331,215.50763122659947,0.0
9,8.937705308359009,363.31408329750747,474.0424731940923,0.42409761837248455,201.04028388901688,0.0
10,8.803639728733625,361.86258659566977,486.3130571977514,0.3855432894295314,187.49473576455293,0.0
11,8.671585132802619,360.43286234435965,498.92337617922436,0.3504938994813922,174.8695996594779,0.0
12,8.54151135581058,359.02458395681924,511.88320922185517,0.3186308177103565,163.10176552656122,0.0
13,8.413388685473421,357.4817515543431,524.9740041012691,0.2896643797366877,152.06626927587945,0.0
14,8.28718785519132,355.88856689173383,538.3133894738478,0.26333125430607973,141.75474005990554,0.0
15,8.16288003736345,354.3192799990638,552.0178933119845,0.23939204936916333,132.14869476840414,0.0
