capacity_kwh,power_kw,bound,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
0.0,2.5,charge_first,4469.281294121165,4016.469487743705,2689.575383326995,2130.169124818943,0.0,0.0,,,
0.5,2.5,charge_first,4185.797718473144,3701.487737022962,2673.7047498305787,2114.592959046954,0.5900795194215491,0.7312173287326806,596.8075276802089,566.9671512960413,31.152331543978107
1.0,2.5,charge_first,4060.5413697290796,3562.31401619631,2637.4232647123404,2079.145551008656,1.9390465475685237,2.3952827602185756,430.25255199179736,250.51269748812956,70.89481607659582
1.5,2.5,charge_first,3948.528924264372,3437.8557434579457,2588.4211699856064,2030.881593196208,3.760973348003427,4.66101637029287,365.4402595486282,224.02489092941505,96.5279156248962
2.0,2.5,charge_first,3845.138939442003,3322.977982544187,2528.985793984761,1972.351250497294,5.970815703391274,7.408701613542701,328.49597614696944,206.77996964473823,117.06068539782837
2.5,2.5,charge_first,3749.616312297522,3216.841730161472,2463.462750235923,1907.9899928844955,8.407001138275294,10.430116996148486,303.0168344521036,191.0452542889616,128.7225152255969
3.0,2.5,charge_first,3660.372470892302,3117.6819063781004,2394.7175664516276,1840.3464059940434,10.962987641217525,13.60562011007148,283.82765727325307,178.48768281044067,135.28717378090414
3.5,2.5,charge_first,3576.2150362602724,3024.12680705305,2324.510007204344,1771.2583461868178,13.573346126891849,16.848933469666715,268.5913557476262,168.31486926405887,138.17611961445118
4.0,2.5,charge_first,3497.3344592219473,2936.406708174784,2256.4617147582544,1704.2432965371454,16.103421798610484,19.994930135793798,255.77548286821622,157.7611540766502,134.03009929934478
4.5,2.5,charge_first,3424.685142731034,2855.6102321270623,2192.666814203036,1641.4873865745376,18.47535384969522,22.940983067996633,244.34997693334972,145.2986329818268,125.5118199252156
5.0,2.5,charge_first,3358.3795769761373,2781.862368008202,2134.563982126825,1584.4128716828152,20.63565143556687,25.620325014452327,233.87404571473837,132.61113150979327,114.1490297834448
5.5,2.5,charge_first,3299.3415687430193,2716.1895678023766,2082.991810168265,1533.820607610342,22.553135224207345,27.995360098897727,223.91190916328185,118.07601646623607,101.1845281449464
6.0,2.5,charge_first,3246.4282564967884,2657.3219853597775,2037.9825292534138,1489.7500323823033,24.22660685076481,30.064236917858512,214.53562063585926,105.82662449246163,88.14115045607741
6.5,2.5,charge_first,3200.1021904309146,2605.773565339828,2000.064902511048,1452.7775729691361,25.636406590062744,31.79989532086487,205.5350775206969,92.65213213174775,73.94491882633429
