month,surplus_kwh,night_kwh,n_days
1,-4.460000000000946,10.529999999999944,207
2,-2.2899999999699503,8.209999999999127,197
3,3.9100000000144064,6.489999999988868,217
4,10.905000000014297,4.780000000000655,210
5,17.25999999999931,3.3800000000082946,217
6,19.859999999996717,3.270000000008622,210
7,18.829999999990832,3.1700000000005275,215
8,16.789999999999168,4.360000000007858,217
9,7.850000000012187,5.670000000013715,182
10,-0.9300000000019963,6.955000000004475,186
11,-2.885000000002151,9.465000000016516,180
12,-4.829999999993561,11.179999999994834,186
