doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
1,-1.076175974422064,-0.2087402273294846,-0.7859050847179886,-0.4332012635089733,109,109,6
2,-1.0805265492870424,-0.21331691588265417,-1.0273788757457774,-0.4421875906107572,108,108,6
3,-1.0851384930278969,-0.2180995415385974,-1.0293488757040112,-0.4511739177125411,107,107,6
4,-1.0900062646384132,-0.22308625557103945,-1.031318875662245,-0.3039202230066302,106,106,6
5,-1.0951240381982592,-0.2282750293865244,-1.0332888756204788,-0.2306743042301331,105,105,6
6,-1.1004857097661502,-0.23366365578114584,-1.0352588755787124,-0.1856479247605176,104,104,6
7,-1.1060849045958179,-0.23924975039025692,-1.037228875536946,-0.18877595400547093,103,103,6
8,-1.111914984666266,-0.24503075332979096,-1.0394290004170454,-0.23735723393039973,102,102,6
9,-1.1179690565174352,-0.2510039310276036,-1.0411688754534136,-0.23958487716382199,101,101,6
10,-1.1242399793820386,-0.25716637824302524,-1.0426694362086295,-0.24387390022000918,100,100,6
11,-1.1307203736039748,-0.26351502027259993,-1.0901316196927278,-0.24816292327619638,99,99,5
12,-1.1374026293334032,-0.270046615339768,-1.0441699969638456,-0.27921130808701183,99,99,5
13,-1.1442789154882271,-0.27675775716604106,-1.0441699969638456,-0.3318008851398114,99,99,5
14,-1.151341188971427,-0.28364487772100566,-1.0441699969638456,-0.3318008851398114,99,99,5
15,-1.158581204133382,-0.29070425014828827,-1.0441699969638456,-0.3318008851398114,99,99,5
16,-1.1659905224680336,-0.29793199186440805,-1.0426694362086295,-0.3954893604856789,100,100,5
17,-1.173560522531464,-0.3053240678272486,-1.00811124976242,-0.3954893604856789,100,100,5
18,-1.1812824100712134,-0.31287629397067834,-1.0426694362086295,-0.3954893604856789,100,100,5
19,-1.1891472283543996,-0.3205843408016635,-1.0426694362086295,-0.3954893604856789,100,100,5
20,-1.1971458686824814,-0.3284437371560257,-1.0426694362086295,-0.2798649687242147,100,100,5
21,-1.2052690810802829,-0.3364498741088132,-1.08065585512523,-0.39717353351946827,100,100,5
22,-1.2135074851466907,-0.34459800903507976,-1.0800872399593806,-0.4171172108185133,100,100,5
23,-1.2218515810542556,-0.3528832698166866,-1.0800872399593806,-0.39077047403628307,100,100,5
24,-1.230291760684743,-0.36130065919057797,-1.0800872399593806,-0.4171172108185133,100,100,5
25,-1.2388183188875295,-0.3698450592338148,-1.0800872399593806,-0.4171172108185133,100,100,5
26,-1.2474214648475936,-0.3785112359804948,-1.0800872399593806,-0.540809069530167,100,100,5
27,-1.2560913335497206,-0.3872938441655337,-1.0185189599192843,-0.540809069530167,100,100,5
28,-1.264817997325431,-0.39618743209013607,-0.9807910456611733,-0.540809069530167,100,100,5
29,-1.2735914774690487,-0.4051864466036444,-1.1578421112835653,-0.540809069530167,100,100,5
30,-1.2824017559092389,-0.4142852381963179,-1.2498916937565474,-0.540809069530167,100,100,5
31,-1.2912387869222846,-0.42347806619746875,-1.2524132263490833,-0.5794677330702199,100,100,5
32,-1.3000925088733264,-0.4327591040732573,-1.2524132263490833,-0.5794677330702199,100,100,5
33,-1.308952855971751,-0.44212244481833424,-1.2524132263490833,-0.540809069530167,100,100,5
34,-1.317809770026907,-0.45156210643541156,-1.2524132263490833,-0.540809069530167,100,100,5
35,-1.3266532121903192,-0.46107203749673875,-1.3181666427309073,-0.540809069530167,100,100,5
36,-1.3354731746705972,-0.4706461227813676,-1.4728581529633684,-0.4191509393496479,100,100,5
37,-1.3442596924072638,-0.4802781889820027,-1.5564985325977192,-0.4191509393496479,100,100,5
38,-1.3530028546897759,-0.489962010475153,-1.6145061203552433,-0.4191509393496479,100,100,5
39,-1.3616928167080844,-0.49969131514822557,-1.6145061203552433,-0.5885754520679878,100,100,5
40,-1.3703198110211554,-0.5094597902771411,-1.6145061203552433,-0.5885754520679878,100,100,5
41,-1.3788741589299707,-0.5192610884479861,-1.6145061203552433,-0.36992990749675847,100,100,5
42,-1.3873462817416486,-0.5290888335161732,-1.6145061203552433,-0.3251040636800781,100,100,5
43,-1.3957267119114478,-0.5389366265965312,-1.673383166215121,-0.3251040636800781,100,100,5
44,-1.404006104049562,-0.5487980520777144,-1.673383166215121,-0.2537941696369295,100,100,5
45,-1.412175245779783,-0.5586666836542947,-1.673383166215121,-0.3874922359573405,100,100,5
46,-1.420225068437272,-0.5685360903698728,-1.673383166215121,-0.37481526927966374,100,100,5
47,-1.4281466575928812,-0.5783998426645407,-1.7660586449056483,-0.37481526927966374,100,100,5
48,-1.4359312633916685,-0.5882515184200159,-1.7660586449056483,-0.6444253914088072,100,100,5
49,-1.4435703106934654,-0.5980847089957768,-2.017997518348002,-0.6444253914088072,100,100,5
50,-1.4510554090036019,-0.6078930252495331,-2.017997518348002,-0.6444253914088072,100,100,5
51,-1.4583783621821296,-0.6176701035353888,-1.998840091270909,-0.6407850743230311,100,100,5
52,-1.4655311779201554,-0.6274096116730783,-1.998840091270909,-0.6407850743230311,100,100,5
53,-1.4725060769721674,-0.6371052548816922,-1.998840091270909,-0.7119818710255225,100,100,5
54,-1.4792955021335292,-0.646750781671347,-1.998840091270909,-0.784711010915796,100,100,5
55,-1.4858921269526137,-0.6563399896863079,-1.745610331222728,-0.784711010915796,100,100,5
56,-1.4922888641673673,-0.6658667314931228,-1.7351143632364323,-0.784711010915796,100,100,5
57,-1.498478873856418,-0.6753249203073973,-1.6396749118247085,-0.856629717362237,100,100,5
58,-1.5044555712951804,-0.684708535652906,-1.573745467324717,-0.9407961253779624,100,100,5
